time,Depth,Y,X,salinity
UTC,m,,,PSU
2009-07-11T00:00:00Z,0,2000,2050,33.4431
2009-07-12T00:00:00Z,0,2000,2050,33.447697
2009-07-13T00:00:00Z,0,2000,2050,33.529343
2009-07-14T00:00:00Z,0,2000,2050,33.56867
2009-07-15T00:00:00Z,0,2000,2050,33.541275
2009-07-16T00:00:00Z,0,2000,2050,33.53342
2009-07-17T00:00:00Z,0,2000,2050,33.523296
2009-07-18T00:00:00Z,0,2000,2050,33.511555
2009-07-19T00:00:00Z,0,2000,2050,33.502613
2009-07-20T00:00:00Z,0,2000,2050,33.507748
2009-07-21T00:00:00Z,0,2000,2050,33.50143
2009-07-22T00:00:00Z,0,2000,2050,33.503437
2009-07-23T00:00:00Z,0,2000,2050,33.517628
2009-07-24T00:00:00Z,0,2000,2050,33.541832
2009-07-25T00:00:00Z,0,2000,2050,33.54469
2009-07-26T00:00:00Z,0,2000,2050,33.53973
2009-07-27T00:00:00Z,0,2000,2050,33.538445
2009-07-28T00:00:00Z,0,2000,2050,33.536003
2009-07-29T00:00:00Z,0,2000,2050,33.537556
2009-07-30T00:00:00Z,0,2000,2050,33.521954
2009-07-31T00:00:00Z,0,2000,2050,33.512817
2009-08-01T00:00:00Z,0,2000,2050,33.518005
2009-08-02T00:00:00Z,0,2000,2050,33.509453
2009-08-03T00:00:00Z,0,2000,2050,33.49459
2009-08-04T00:00:00Z,0,2000,2050,33.481663
2009-08-05T00:00:00Z,0,2000,2050,33.474518
2009-08-06T00:00:00Z,0,2000,2050,33.472305
2009-08-07T00:00:00Z,0,2000,2050,33.467377
2009-08-08T00:00:00Z,0,2000,2050,33.459915
2009-08-09T00:00:00Z,0,2000,2050,33.464943
2009-08-10T00:00:00Z,0,2000,2050,33.464203
2009-08-11T00:00:00Z,0,2000,2050,33.45368
2009-08-12T00:00:00Z,0,2000,2050,33.4378
2009-08-13T00:00:00Z,0,2000,2050,33.453297
2009-08-14T00:00:00Z,0,2000,2050,33.47477
2009-08-15T00:00:00Z,0,2000,2050,33.480556
2009-08-16T00:00:00Z,0,2000,2050,33.46965
2009-08-17T00:00:00Z,0,2000,2050,33.4633
2009-08-18T00:00:00Z,0,2000,2050,33.465927
2009-08-19T00:00:00Z,0,2000,2050,33.465286
2009-08-20T00:00:00Z,0,2000,2050,33.45901
2009-08-21T00:00:00Z,0,2000,2050,33.46114
2009-08-22T00:00:00Z,0,2000,2050,33.46928
2009-08-23T00:00:00Z,0,2000,2050,33.46084
2009-08-24T00:00:00Z,0,2000,2050,33.442963
2009-08-25T00:00:00Z,0,2000,2050,33.44402
2009-08-26T00:00:00Z,0,2000,2050,33.443966
2009-08-27T00:00:00Z,0,2000,2050,33.43276
2009-08-28T00:00:00Z,0,2000,2050,33.42671
2009-08-29T00:00:00Z,0,2000,2050,33.44886
2009-08-30T00:00:00Z,0,2000,2050,33.49362
2009-08-31T00:00:00Z,0,2000,2050,33.53783
2009-09-01T00:00:00Z,0,2000,2050,33.551888
2009-09-02T00:00:00Z,0,2000,2050,33.56672
2009-09-03T00:00:00Z,0,2000,2050,33.581554
2009-09-04T00:00:00Z,0,2000,2050,33.605064
2009-09-05T00:00:00Z,0,2000,2050,33.603012
2009-09-06T00:00:00Z,0,2000,2050,33.5987
2009-09-07T00:00:00Z,0,2000,2050,33.587383
2009-09-08T00:00:00Z,0,2000,2050,33.58352
2009-09-09T00:00:00Z,0,2000,2050,33.540565
2009-09-10T00:00:00Z,0,2000,2050,33.5129
2009-09-11T00:00:00Z,0,2000,2050,33.526268
2009-09-12T00:00:00Z,0,2000,2050,33.538445
2009-09-13T00:00:00Z,0,2000,2050,33.547684
2009-09-14T00:00:00Z,0,2000,2050,33.538868
2009-09-15T00:00:00Z,0,2000,2050,33.521046
2009-09-16T00:00:00Z,0,2000,2050,33.503536
2009-09-17T00:00:00Z,0,2000,2050,33.483185
2009-09-18T00:00:00Z,0,2000,2050,33.463943
2009-09-19T00:00:00Z,0,2000,2050,33.45538
2009-09-20T00:00:00Z,0,2000,2050,33.4586
2009-09-21T00:00:00Z,0,2000,2050,33.45128
2009-09-22T00:00:00Z,0,2000,2050,33.431614
2009-09-23T00:00:00Z,0,2000,2050,33.41966
2009-09-24T00:00:00Z,0,2000,2050,33.444218
2009-09-25T00:00:00Z,0,2000,2050,33.47017
2009-09-26T00:00:00Z,0,2000,2050,33.468327
2009-09-27T00:00:00Z,0,2000,2050,33.46735
2009-09-28T00:00:00Z,0,2000,2050,33.43964
2009-09-29T00:00:00Z,0,2000,2050,33.449135
2009-09-30T00:00:00Z,0,2000,2050,33.449726
2009-10-01T00:00:00Z,0,2000,2050,33.47448
2009-10-02T00:00:00Z,0,2000,2050,33.45461
2009-10-03T00:00:00Z,0,2000,2050,33.45575
2009-10-04T00:00:00Z,0,2000,2050,33.522816
2009-10-05T00:00:00Z,0,2000,2050,33.566875
2009-10-06T00:00:00Z,0,2000,2050,33.561092
2009-10-07T00:00:00Z,0,2000,2050,33.556786
2009-10-08T00:00:00Z,0,2000,2050,33.55335
2009-10-09T00:00:00Z,0,2000,2050,33.535004
2009-10-10T00:00:00Z,0,2000,2050,33.512417
2009-10-11T00:00:00Z,0,2000,2050,33.500298
2009-10-12T00:00:00Z,0,2000,2050,33.470757
2009-10-13T00:00:00Z,0,2000,2050,33.397976
2009-10-14T00:00:00Z,0,2000,2050,33.37905
2009-10-15T00:00:00Z,0,2000,2050,33.390205
2009-10-16T00:00:00Z,0,2000,2050,33.40032
2009-10-17T00:00:00Z,0,2000,2050,33.40544
2009-10-18T00:00:00Z,0,2000,2050,33.40729
2009-10-19T00:00:00Z,0,2000,2050,33.40623
2009-10-20T00:00:00Z,0,2000,2050,33.399334
2009-10-21T00:00:00Z,0,2000,2050,33.4009
2009-10-22T00:00:00Z,0,2000,2050,33.397285
2009-10-23T00:00:00Z,0,2000,2050,33.379787
2009-10-24T00:00:00Z,0,2000,2050,33.365963
2009-10-25T00:00:00Z,0,2000,2050,33.347218
2009-10-26T00:00:00Z,0,2000,2050,33.35552
2009-10-27T00:00:00Z,0,2000,2050,33.355194
2009-10-28T00:00:00Z,0,2000,2050,33.526165
2009-10-29T00:00:00Z,0,2000,2050,33.541374
2009-10-30T00:00:00Z,0,2000,2050,33.477222
2009-10-31T00:00:00Z,0,2000,2050,33.33847
2009-11-01T00:00:00Z,0,2000,2050,33.318546
2009-11-02T00:00:00Z,0,2000,2050,33.30371
2009-11-03T00:00:00Z,0,2000,2050,33.3275
2009-11-04T00:00:00Z,0,2000,2050,33.318333
2009-11-05T00:00:00Z,0,2000,2050,33.31769
2009-11-06T00:00:00Z,0,2000,2050,33.32352
2009-11-07T00:00:00Z,0,2000,2050,33.31086
2009-11-08T00:00:00Z,0,2000,2050,33.339474
2009-11-09T00:00:00Z,0,2000,2050,33.328064
2009-11-10T00:00:00Z,0,2000,2050,33.314297
2009-11-11T00:00:00Z,0,2000,2050,33.322224
2009-11-12T00:00:00Z,0,2000,2050,33.331272
2009-11-13T00:00:00Z,0,2000,2050,33.40043
2009-11-14T00:00:00Z,0,2000,2050,33.419956
2009-11-15T00:00:00Z,0,2000,2050,33.436806
2009-11-16T00:00:00Z,0,2000,2050,33.422348
2009-11-17T00:00:00Z,0,2000,2050,33.445732
2009-11-18T00:00:00Z,0,2000,2050,33.4869
2009-11-19T00:00:00Z,0,2000,2050,33.573006
2009-11-20T00:00:00Z,0,2000,2050,33.557716
2009-11-21T00:00:00Z,0,2000,2050,33.554367
2009-11-22T00:00:00Z,0,2000,2050,33.48868
2009-11-23T00:00:00Z,0,2000,2050,33.449463
2009-11-24T00:00:00Z,0,2000,2050,33.463577
2009-11-25T00:00:00Z,0,2000,2050,33.468773
2009-11-26T00:00:00Z,0,2000,2050,33.43711
2009-11-27T00:00:00Z,0,2000,2050,33.389057
2009-11-28T00:00:00Z,0,2000,2050,33.3218
2009-11-29T00:00:00Z,0,2000,2050,33.42878
2009-11-30T00:00:00Z,0,2000,2050,33.414864
2009-12-01T00:00:00Z,0,2000,2050,33.390644
2009-12-02T00:00:00Z,0,2000,2050,33.38102
2009-12-03T00:00:00Z,0,2000,2050,33.374226
2009-12-04T00:00:00Z,0,2000,2050,33.376328
2009-12-05T00:00:00Z,0,2000,2050,33.370953
2009-12-06T00:00:00Z,0,2000,2050,33.36817
2009-12-07T00:00:00Z,0,2000,2050,33.37398
2009-12-08T00:00:00Z,0,2000,2050,33.33649
2009-12-09T00:00:00Z,0,2000,2050,33.335613
2009-12-10T00:00:00Z,0,2000,2050,33.339127
2009-12-11T00:00:00Z,0,2000,2050,33.344738
2009-12-12T00:00:00Z,0,2000,2050,33.327312
2009-12-13T00:00:00Z,0,2000,2050,33.31941
2009-12-14T00:00:00Z,0,2000,2050,33.32269
2009-12-15T00:00:00Z,0,2000,2050,33.32366
2009-12-16T00:00:00Z,0,2000,2050,33.32001
2009-12-17T00:00:00Z,0,2000,2050,33.32177
2009-12-18T00:00:00Z,0,2000,2050,33.31896
2009-12-19T00:00:00Z,0,2000,2050,33.326458
2009-12-20T00:00:00Z,0,2000,2050,33.334625
2009-12-21T00:00:00Z,0,2000,2050,33.331333
2009-12-22T00:00:00Z,0,2000,2050,33.32793
2009-12-23T00:00:00Z,0,2000,2050,33.34429
2009-12-24T00:00:00Z,0,2000,2050,33.353233
2009-12-25T00:00:00Z,0,2000,2050,33.376614
2009-12-26T00:00:00Z,0,2000,2050,33.381546
2009-12-27T00:00:00Z,0,2000,2050,33.388325
2009-12-28T00:00:00Z,0,2000,2050,33.373775
2009-12-29T00:00:00Z,0,2000,2050,33.375587
2009-12-30T00:00:00Z,0,2000,2050,33.37772
2009-12-31T00:00:00Z,0,2000,2050,33.381
2010-01-01T00:00:00Z,0,2000,2050,33.37199
2010-01-02T00:00:00Z,0,2000,2050,33.36924
2010-01-03T00:00:00Z,0,2000,2050,33.361942
2010-01-04T00:00:00Z,0,2000,2050,33.356216
2010-01-05T00:00:00Z,0,2000,2050,33.357407
2010-01-06T00:00:00Z,0,2000,2050,33.349796
2010-01-07T00:00:00Z,0,2000,2050,33.346706
2010-01-08T00:00:00Z,0,2000,2050,33.344982
2010-01-09T00:00:00Z,0,2000,2050,33.34265
2010-01-10T00:00:00Z,0,2000,2050,33.34204
2010-01-11T00:00:00Z,0,2000,2050,33.30174
2010-01-12T00:00:00Z,0,2000,2050,33.29407
2010-01-13T00:00:00Z,0,2000,2050,33.305733
2010-01-14T00:00:00Z,0,2000,2050,33.306034
2010-01-15T00:00:00Z,0,2000,2050,33.30116
2010-01-16T00:00:00Z,0,2000,2050,33.263287
2010-01-17T00:00:00Z,0,2000,2050,33.244194
2010-01-18T00:00:00Z,0,2000,2050,33.23632
2010-01-19T00:00:00Z,0,2000,2050,33.233097
2010-01-20T00:00:00Z,0,2000,2050,33.2346
2010-01-21T00:00:00Z,0,2000,2050,33.210896
2010-01-22T00:00:00Z,0,2000,2050,33.26451
2010-01-23T00:00:00Z,0,2000,2050,33.240005
2010-01-24T00:00:00Z,0,2000,2050,33.184406
2010-01-25T00:00:00Z,0,2000,2050,33.156406
2010-01-26T00:00:00Z,0,2000,2050,33.168346
2010-01-27T00:00:00Z,0,2000,2050,33.154232
2010-01-28T00:00:00Z,0,2000,2050,33.102535
2010-01-29T00:00:00Z,0,2000,2050,33.047417
2010-01-30T00:00:00Z,0,2000,2050,33.028477
2010-01-31T00:00:00Z,0,2000,2050,33.02349
2010-02-01T00:00:00Z,0,2000,2050,32.98931
2010-02-02T00:00:00Z,0,2000,2050,33.025078
2010-02-03T00:00:00Z,0,2000,2050,33.07003
2010-02-04T00:00:00Z,0,2000,2050,33.14022
2010-02-05T00:00:00Z,0,2000,2050,33.28224
2010-02-06T00:00:00Z,0,2000,2050,33.30865
2010-02-07T00:00:00Z,0,2000,2050,33.29153
2010-02-08T00:00:00Z,0,2000,2050,33.12674
2010-02-09T00:00:00Z,0,2000,2050,33.13533
2010-02-10T00:00:00Z,0,2000,2050,33.09677
2010-02-11T00:00:00Z,0,2000,2050,33.09945
2010-02-12T00:00:00Z,0,2000,2050,33.08628
2010-02-13T00:00:00Z,0,2000,2050,33.096443
2010-02-14T00:00:00Z,0,2000,2050,33.05275
2010-02-15T00:00:00Z,0,2000,2050,33.062935
2010-02-16T00:00:00Z,0,2000,2050,33.073593
2010-02-17T00:00:00Z,0,2000,2050,33.07049
2010-02-18T00:00:00Z,0,2000,2050,33.03899
2010-02-19T00:00:00Z,0,2000,2050,33.036873
2010-02-20T00:00:00Z,0,2000,2050,33.10281
2010-02-21T00:00:00Z,0,2000,2050,33.142704
2010-02-22T00:00:00Z,0,2000,2050,33.12888
2010-02-23T00:00:00Z,0,2000,2050,33.1038
